,timestamp,Open,High,Low,Close,Volume,quote_volume,close,high,low,open,volume,DateTime,ATR,SuperTrend,TrendDir,AdaptiveATR,shifted_dir,signal
199,1747800300000,11.847,11.879,11.847,11.874,860.2,10207.839,11.874,11.879,11.847,11.847,860.2,2025-05-21 04:05:00,,12.137772727272727,1.0,0.09159090909090901,1.0,nan
198,1747800600000,11.874,11.874,11.839,11.839,1084.8,12859.7661,11.839,11.874,11.839,11.874,1084.8,2025-05-21 04:10:00,,12.131272727272728,1.0,0.09159090909090901,1.0,nan
197,1747800900000,11.839,11.85,11.836,11.844,750.5,8886.481,11.844,11.85,11.836,11.839,750.5,2025-05-21 04:15:00,,12.117772727272728,1.0,0.09159090909090901,1.0,nan
196,1747801200000,11.844,11.86,11.84,11.849,978.5,11599.3605,11.849,11.86,11.84,11.844,978.5,2025-05-21 04:20:00,,12.117772727272728,1.0,0.09159090909090901,1.0,nan
195,1747801500000,11.849,11.858,11.842,11.843,119.6,1416.8841,11.843,11.858,11.842,11.849,119.6,2025-05-21 04:25:00,,12.117772727272728,1.0,0.09159090909090901,1.0,nan
194,1747801800000,11.843,11.843,11.807,11.834,1838.7,21734.3455,11.834,11.843,11.807,11.843,1838.7,2025-05-21 04:30:00,,12.099772727272727,1.0,0.09159090909090901,1.0,nan
193,1747802100000,11.834,11.919,11.834,11.908,2816.9,33490.6253,11.908,11.919,11.834,11.834,2816.9,2025-05-21 04:35:00,,12.099772727272727,1.0,0.09159090909090901,1.0,nan
192,1747802400000,11.908,11.933,11.89,11.894,4995.4,59484.9158,11.894,11.933,11.89,11.908,4995.4,2025-05-21 04:40:00,,12.099772727272727,1.0,0.09159090909090901,1.0,nan
191,1747802700000,11.894,11.907,11.868,11.873,1687.1,20043.4881,11.873,11.907,11.868,11.894,1687.1,2025-05-21 04:45:00,,12.099772727272727,1.0,0.09159090909090901,1.0,nan
190,1747803000000,11.873,11.873,11.856,11.868,681.1,8081.1009,11.868,11.873,11.856,11.873,681.1,2025-05-21 04:50:00,,12.099772727272727,1.0,0.09159090909090901,1.0,nan
189,1747803300000,11.868,11.868,11.856,11.86,1013.5,12021.5755,11.86,11.868,11.856,11.868,1013.5,2025-05-21 04:55:00,0.03169999999999984,11.953933783783784,1.0,0.030644594594594583,1.0,nan
188,1747803600000,11.86,11.892,11.855,11.874,468.1,5559.2975,11.874,11.892,11.855,11.86,468.1,2025-05-21 05:00:00,0.03189999999999973,11.953933783783784,1.0,0.030644594594594583,1.0,nan
187,1747803900000,11.874,11.899,11.865,11.874,1563.2,18579.1022,11.874,11.899,11.865,11.874,1563.2,2025-05-21 05:05:00,0.03389999999999969,11.953933783783784,1.0,0.030644594594594583,1.0,nan
186,1747804200000,11.874,11.898,11.873,11.874,986.8,11728.827,11.874,11.898,11.873,11.874,986.8,2025-05-21 05:10:00,0.034399999999999764,11.953933783783784,1.0,0.030644594594594583,1.0,nan
185,1747804500000,11.874,11.934,11.874,11.934,840.4,10001.7285,11.934,11.934,11.874,11.874,840.4,2025-05-21 05:15:00,0.03879999999999963,11.953933783783784,1.0,0.030644594594594583,1.0,nan
184,1747804800000,11.934,11.934,11.902,11.921,537.0,6400.1451,11.921,11.934,11.902,11.934,537.0,2025-05-21 05:20:00,0.03839999999999968,11.953933783783784,1.0,0.030644594594594583,1.0,nan
183,1747805100000,11.921,11.937,11.906,11.911,809.2,9643.4722,11.911,11.937,11.906,11.921,809.2,2025-05-21 05:25:00,0.032999999999999474,11.953933783783784,1.0,0.030644594594594583,1.0,nan
182,1747805400000,11.911,11.949,11.908,11.932,1622.7,19362.2787,11.932,11.949,11.908,11.911,1622.7,2025-05-21 05:30:00,0.032799999999999586,11.953933783783784,1.0,0.030644594594594583,1.0,nan
181,1747805700000,11.932,11.935,11.89,11.901,2914.9,34690.4203,11.901,11.935,11.89,11.932,2914.9,2025-05-21 05:35:00,0.03339999999999961,11.953933783783784,1.0,0.030644594594594583,1.0,nan
180,1747806000000,11.901,11.907,11.886,11.894,1858.5,22104.8439,11.894,11.907,11.886,11.901,1858.5,2025-05-21 05:40:00,0.03379999999999974,11.953933783783784,1.0,0.030644594594594583,1.0,nan
179,1747806300000,11.894,11.899,11.873,11.884,795.9,9460.5131,11.884,11.899,11.873,11.894,795.9,2025-05-21 05:45:00,0.035199999999999676,11.953933783783784,1.0,0.030644594594594583,1.0,nan
178,1747806600000,11.884,11.893,11.875,11.89,723.5,8596.9293,11.89,11.893,11.875,11.884,723.5,2025-05-21 05:50:00,0.033299999999999844,11.953933783783784,1.0,0.030644594594594583,1.0,nan
177,1747806900000,11.89,11.893,11.883,11.883,485.5,5771.9303,11.883,11.893,11.883,11.89,485.5,2025-05-21 05:55:00,0.030900000000000104,11.953933783783784,1.0,0.030644594594594583,1.0,nan
176,1747807200000,11.883,11.884,11.858,11.865,549.1,6518.0754,11.865,11.884,11.858,11.883,549.1,2025-05-21 06:00:00,0.03100000000000005,11.953933783783784,1.0,0.030644594594594583,1.0,nan
175,1747807500000,11.865,11.871,11.852,11.856,181.3,2150.5627,11.856,11.871,11.852,11.865,181.3,2025-05-21 06:05:00,0.02690000000000019,11.953433783783783,1.0,0.030644594594594583,1.0,nan
174,1747807800000,11.856,11.866,11.837,11.848,987.6,11708.5793,11.848,11.866,11.837,11.856,987.6,2025-05-21 06:10:00,0.02660000000000018,11.943433783783783,1.0,0.030644594594594583,1.0,nan
173,1747808100000,11.848,11.856,11.813,11.838,3498.7,41419.3553,11.838,11.856,11.813,11.848,3498.7,2025-05-21 06:15:00,0.027800000000000224,11.926433783783784,1.0,0.030644594594594583,1.0,nan
172,1747808400000,11.838,11.854,11.838,11.846,525.8,6231.2967,11.846,11.854,11.838,11.838,525.8,2025-05-21 06:20:00,0.02530000000000019,11.926433783783784,1.0,0.030644594594594583,1.0,nan
171,1747808700000,11.846,11.883,11.846,11.881,750.4,8903.645,11.881,11.883,11.846,11.846,750.4,2025-05-21 06:25:00,0.024500000000000098,11.926433783783784,1.0,0.030644594594594583,1.0,nan
170,1747809000000,11.881,11.912,11.879,11.91,9820.1,116837.2319,11.91,11.912,11.879,11.881,9820.1,2025-05-21 06:30:00,0.025700000000000146,11.926433783783784,1.0,0.030644594594594583,1.0,nan
169,1747809300000,11.91,11.925,11.879,11.881,1546.4,18416.9451,11.881,11.925,11.879,11.91,1546.4,2025-05-21 06:35:00,0.02770000000000028,11.926433783783784,1.0,0.030644594594594583,1.0,nan
168,1747809600000,11.881,11.904,11.871,11.894,1756.5,20888.8169,11.894,11.904,11.871,11.881,1756.5,2025-05-21 06:40:00,0.02920000000000016,11.926433783783784,1.0,0.030644594594594583,1.0,nan
167,1747809900000,11.894,11.897,11.856,11.858,677.4,8048.048,11.858,11.897,11.856,11.894,677.4,2025-05-21 06:45:00,0.03230000000000004,11.926433783783784,1.0,0.030644594594594583,1.0,nan
166,1747810200000,11.858,11.874,11.853,11.874,603.6,7158.6082,11.874,11.874,11.853,11.858,603.6,2025-05-21 06:50:00,0.03180000000000014,11.926433783783784,1.0,0.030644594594594583,1.0,nan
165,1747810500000,11.874,11.883,11.855,11.88,1086.5,12889.1365,11.88,11.883,11.855,11.874,1086.5,2025-05-21 06:55:00,0.03269999999999999,11.926433783783784,1.0,0.030644594594594583,1.0,nan
164,1747810800000,11.88,11.896,11.863,11.865,417.1,4955.389,11.865,11.896,11.863,11.88,417.1,2025-05-21 07:00:00,0.03310000000000013,11.926433783783784,1.0,0.030644594594594583,1.0,nan
163,1747811100000,11.865,11.875,11.854,11.864,679.9,8066.1893,11.864,11.875,11.854,11.865,679.9,2025-05-21 07:05:00,0.03090000000000028,11.926433783783784,1.0,0.030644594594594583,1.0,nan
162,1747811400000,11.864,11.875,11.83,11.846,2113.6,25046.4868,11.846,11.875,11.83,11.864,2113.6,2025-05-21 07:10:00,0.033800000000000274,11.926433783783784,1.0,0.030644594594594583,1.0,nan
161,1747811700000,11.846,11.846,11.805,11.82,2261.4,26737.958,11.82,11.846,11.805,11.846,2261.4,2025-05-21 07:15:00,0.03420000000000041,11.917433783783784,1.0,0.030644594594594583,1.0,nan
160,1747812000000,11.82,11.824,11.753,11.754,3052.4,35980.3912,11.754,11.824,11.753,11.82,3052.4,2025-05-21 07:20:00,0.038000000000000256,11.880433783783783,1.0,0.030644594594594583,1.0,nan
159,1747812300000,11.754,11.78,11.733,11.78,947.4,11148.6967,11.78,11.78,11.733,11.754,947.4,2025-05-21 07:25:00,0.03810000000000002,11.848433783783783,1.0,0.030644594594594583,1.0,nan
158,1747812600000,11.78,11.781,11.744,11.778,2358.3,27753.7847,11.778,11.781,11.744,11.78,2358.3,2025-05-21 07:30:00,0.03850000000000016,11.848433783783783,1.0,0.030644594594594583,1.0,nan
157,1747812900000,11.778,11.794,11.743,11.748,2819.0,33174.3787,11.748,11.794,11.743,11.778,2819.0,2025-05-21 07:35:00,0.03950000000000013,11.848433783783783,1.0,0.030644594594594583,1.0,nan
