,timestamp,Open,High,Low,Close,Volume,quote_volume,close,high,low,open,volume,DateTime,ATR,SuperTrend,TrendDir,AdaptiveATR,shifted_dir
180,1747805700000,0.0017226,0.0017233,0.0017144,0.0017168,4323400.0,7436.22733,0.0017168,0.0017233,0.0017144,0.0017226,4323400.0,2025-05-21 05:35:00,9.730000000000003e-06,0.0016934953333333335,-1.0,8.451555555555538e-06,-1.0
179,1747806000000,0.0017168,0.0017197,0.0017125,0.0017155,2192900.0,3761.79876,0.0017155,0.0017197,0.0017125,0.0017168,2192900.0,2025-05-21 05:40:00,9.770000000000005e-06,0.0016934953333333335,-1.0,8.451555555555538e-06,-1.0
178,1747806300000,0.0017155,0.0017189,0.0017099,0.0017161,5116800.0,8772.01482,0.0017161,0.0017189,0.0017099,0.0017155,5116800.0,2025-05-21 05:45:00,1.0209999999999994e-05,0.0016934953333333335,-1.0,1.1722380952380944e-05,-1.0
177,1747806600000,0.0017161,0.001722,0.0017116,0.0017196,2862700.0,4921.20061,0.0017196,0.001722,0.0017116,0.0017161,2862700.0,2025-05-21 05:50:00,9.679999999999997e-06,0.0016934953333333335,-1.0,8.451555555555538e-06,-1.0
176,1747806900000,0.0017196,0.0017246,0.0017193,0.0017206,7633200.0,13146.53142,0.0017206,0.0017246,0.0017193,0.0017196,7633200.0,2025-05-21 05:55:00,9.639999999999996e-06,0.0016965953333333333,-1.0,8.451555555555538e-06,-1.0
175,1747807200000,0.0017206,0.0017234,0.0017113,0.0017135,44827000.0,76982.89044,0.0017135,0.0017234,0.0017113,0.0017206,44827000.0,2025-05-21 06:00:00,9.309999999999982e-06,0.0016965953333333333,-1.0,8.451555555555538e-06,-1.0
174,1747807500000,0.0017135,0.001714,0.001707,0.0017119,8616400.0,14734.42726,0.0017119,0.001714,0.001707,0.0017135,8616400.0,2025-05-21 06:05:00,8.209999999999987e-06,0.0016965953333333333,-1.0,8.451555555555538e-06,-1.0
173,1747807800000,0.0017119,0.0017119,0.0016987,0.0017057,15238800.0,25926.88804,0.0017057,0.0017119,0.0016987,0.0017119,15238800.0,2025-05-21 06:10:00,8.329999999999991e-06,0.0016965953333333333,-1.0,8.451555555555538e-06,-1.0
172,1747808100000,0.0017057,0.0017066,0.0016964,0.0017043,7252200.0,12330.30222,0.0017043,0.0017066,0.0016964,0.0017057,7252200.0,2025-05-21 06:15:00,8.829999999999971e-06,0.0016965953333333333,-1.0,8.451555555555538e-06,-1.0
171,1747808400000,0.0017043,0.0017084,0.0017033,0.0017055,6707800.0,11447.01222,0.0017055,0.0017084,0.0017033,0.0017043,6707800.0,2025-05-21 06:20:00,8.839999999999954e-06,0.0016965953333333333,-1.0,8.451555555555538e-06,-1.0
